species	segmented
Ourmia melon virus	yes
Spring beauty latent virus	yes
Ageratum enation virus	yes
Sclerophthora macrospora virus A	yes
Gremmeniella abietina RNA virus MS1	yes
Sida mottle virus	yes
Sida yellow mosaic virus	yes
Mammarenavirus bearense	yes
Tomato leaf curl Taiwan virus	yes
Helicobasidium mompa totivirus 1-17	yes
Tobacco leaf rugose virus	yes
Hollyhock leaf crumple virus	yes
Equine encephalosis virus	yes
Stachytarpheta leaf curl virus	yes
Great Island virus	yes
Cypovirus 1	yes
Cypovirus 2	yes
Cypovirus 5	yes
Cypovirus 14	yes
Cypovirus 15	yes
Luffa yellow mosaic virus	yes
Croton yellow vein mosaic virus	yes
Tomato leaf curl Vietnam virus	yes
Mammarenavirus cupixiense	yes
Tobacco leaf curl Yunnan virus	yes
Penicillium stoloniferum virus S	yes
Tomato leaf curl Gujarat virus	yes
Tomato yellow leaf curl Malaga virus	yes
Bean golden yellow mosaic virus	yes
Tomato leaf curl Bangalore virus	yes
Tomato leaf curl Karnataka virus	yes
Ageratum yellow vein Sri Lanka virus	yes
Ageratum yellow vein Taiwan virus	yes
Chayote yellow mosaic virus	yes
Cotton leaf curl Alabad virus	yes
Cotton leaf curl Gezira virus	yes
Cotton leaf curl Kokhran virus	yes
Squash leaf curl Yunnan virus	yes
Malvastrum yellow vein virus	yes
Macrobrachium rosenbergii nodavirus	yes
Cotton leaf curl Multan virus	yes
Cowpea golden mosaic virus-[Nigeria]	yes
East African cassava mosaic Cameroon virus	yes
East African cassava mosaic Malawi virus	yes
East African cassava mosaic Zanzibar virus	yes
Macroptilium mosaic Puerto Rico virus	yes
Macroptilium yellow mosaic Florida virus	yes
Mungbean yellow mosaic India virus	yes
Pepper golden mosaic virus	yes
Pepper huasteco yellow vein virus	yes
Pepper leaf curl Bangladesh virus	yes
Potato yellow mosaic Panama virus	yes
Sida golden mosaic Costa Rica virus	yes
Sida golden mosaic Florida virus	yes
Sida golden mosaic Honduras virus	yes
Sida yellow vein virus	yes
Squash leaf curl China virus	yes
Squash mild leaf curl virus	yes
Tobacco leaf curl Japan virus	yes
Honeysuckle yellow vein virus	yes
Tobacco leaf curl Zimbabwe virus	yes
Tomato golden mottle virus	yes
Tomato leaf curl Bangladesh virus	yes
Tomato leaf curl Laos virus	yes
Tomato leaf curl Malaysia virus	yes
Tomato leaf curl New Delhi virus	yes
Tomato leaf curl Sri Lanka virus	yes
Tomato mosaic Havana virus	yes
Tomato mottle Taino virus	yes
Sweet potato leaf curl Georgia virus	yes
Testudine orthoreovirus	yes
Reptilian orthoreovirus	yes
Okra yellow vein mosaic virus	yes
Strawberry pallidosis-associated virus	yes
Sida micrantha mosaic virus	yes
Papaya leaf curl China virus	yes
Tomato leaf curl China virus	yes
Tomato yellow leaf curl Axarquia virus	yes
Tenuivirus persotritici	yes
Tomato chino La Paz virus	yes
Strawberry necrotic shock virus	yes
Liao ning virus	yes
Fragaria chiloensis latent virus	yes
Tomato yellow leaf curl Mali virus	yes
Pepper yellow vein Mali virus	yes
Tomato leaf curl Mali virus	yes
Tomato yellow margin leaf curl virus	yes
Cardamom bushy dwarf virus	yes
Tomato leaf curl Java virus	yes
Horsegram yellow mosaic virus	yes
Ichnoviriform fugitivi	yes
Tomato yellow leaf curl Kanchanaburi virus	yes
Bean yellow disorder virus	yes
Humulus japonicus latent virus	yes
Squash leaf curl Philippines virus	yes
Euphorbia leaf curl virus	yes
Tomato leaf curl Iran virus	yes
Tomato leaf curl Sudan virus	yes
Papaya leaf curl Guandong virus	yes
Dendrolimus punctatus virus	yes
Orthobunyavirus wyeomyiae	yes
Faba bean necrotic stunt virus	yes
Alphachrysovirus cerasi	yes
Cherry chlorotic rusty spot associated partitivirus	yes
Malvastrum yellow vein Yunnan virus	yes
White clover cryptic virus 1	yes
Pepper yellow leaf curl Indonesia virus	yes
Tomato golden vein virus	yes
Penicillium stoloniferum virus F	yes
Tomato yellow leaf curl Guangdong virus	yes
Mopeia Lassa virus reassortant 29	yes
Lindernia anagallis yellow vein virus	yes
Cassia yellow blotch virus	yes
Tomato leaf curl Madagascar virus	yes
Tomato leaf curl Mayotte virus	yes
Yunnan orbivirus	yes
Cotton leaf curl Bangalore virus	yes
Tomato leaf curl Joydebpur virus	yes
Senecio yellow mosaic virus	yes
Mycoreovirus 1	yes
Mycoreovirus 3	yes
Ludwigia yellow vein virus	yes
Clerodendron yellow mosaic virus	yes
Okra yellow mosaic Mexico virus	yes
Malvastrum leaf curl virus	yes
Ageratum leaf curl virus	yes
Corchorus yellow vein virus	yes
Dolichos yellow mosaic virus	yes
Rotavirus D	yes
Fragaria chiloensis cryptic virus	yes
Tobacco leaf curl Cuba virus	yes
Sida leaf curl virus	yes
Alternanthera yellow vein virus	yes
Micromonas pusilla reovirus	yes
Blackberry chlorotic ringspot virus	yes
Tomato leaf curl Uganda virus	yes
Aedes pseudoscutellaris reovirus	yes
Cabbage leaf curl Jamaica virus	yes
Ophiostoma partitivirus 1	yes
Raphanus sativus cryptic virus 1	yes
Mammalian orthoreovirus	yes
Raphanus sativus cryptic virus 2	yes
Operophtera brumata reovirus	yes
Peruvian horse sickness virus	yes
Mesta yellow vein mosaic virus	yes
Boerhavia yellow spot virus	yes
Desmodium leaf distortion virus	yes
Tomato yellow spot virus	yes
Vernonia yellow vein virus	yes
Sida mosaic Sinaloa virus	yes
Pepper cryptic virus 1	yes
Siegesbeckia yellow vein virus	yes
Rice stripe necrosis virus	yes
Malvastrum yellow mosaic Jamaica virus	yes
Malvastrum yellow mosaic virus	yes
Tomato leaf curl Guangxi virus	yes
Malvastrum leaf curl Guangdong virus	yes
Siegesbeckia yellow vein Guangxi virus	yes
Corchorus golden mosaic virus	yes
Kudzu mosaic virus	yes
Clerodendron golden mosaic virus	yes
Spilanthes yellow vein virus	yes
Mimosa yellow leaf curl virus	yes
Sida yellow vein Vietnam virus	yes
Tomato yellow leaf curl Vietnam virus	yes
Erectites yellow mosaic virus	yes
Ludwigia yellow vein Vietnam virus	yes
Turnip ringspot virus	yes
Tomato leaf curl Arusha virus	yes
East African cassava mosaic Kenya virus	yes
Tomato leaf curl Hsinchu virus	yes
Tomato leaf curl Guangdong virus	yes
Okra yellow crinkle virus	yes
Corchorus yellow spot virus	yes
Blackberry yellow vein-associated virus	yes
Mycoreovirus 2	yes
Tomato leaf curl Pune virus	yes
Soybean blistering mosaic virus	yes
Sida yellow mosaic Yucatan virus	yes
Tobacco leaf curl Thailand virus	yes
Homalodisca vitripennis reovirus	yes
Crassocephalum yellow vein virus	yes
