species	segmented
Cherry small circular viroid-like RNA	no
Moineauvirus Sfi21	no
Spondweni virus	no
Walleye epidermal hyperplasia virus 2	no
Walleye epidermal hyperplasia virus 1	no
Cherry green ring mottle virus	no
Carrot red leaf virus	no
Shigella phage SfII	no
Ceratobium mosaic virus	no
Spbetavirus SPbeta	no
BeAn 58058 virus	no
Sendosyvirus APSE1	no
Cowpea mild mottle virus	no
Carrot red leaf luteovirus associated RNA	no
Chrysanthemum chlorotic mottle viroid	no
Woolly monkey hepatitis B virus	no
Torque teno virus	no
Ovine enzootic nasal tumor virus	no
Banana streak virus	no
Watermelon leaf mottle virus	no
Grapevine leafroll-associated virus 4	no
Fibrovirus fs1	no
Longwoodvirus K139	no
Turkey astrovirus	no
Avastrovirus 1	no
Tremovirus A	no
Sugarcane streak Egypt virus	no
Diatraea saccharalis densovirus	no
Aichivirus A	no
Human erythrovirus V9	no
Moineauvirus Sfi19	no
Endive necrotic mosaic virus	no
Apple dimple fruit viroid	no
Sphaeropsis sapinea RNA virus 1	no
Sphaeropsis sapinea RNA virus 2	no
Calanthe mild mosaic virus	no
Bovine torovirus	no
Apricot latent virus	no
Mycoplasma phage MAV1	no
Sclerophthora macrospora virus B	no
Sugarcane streak Reunion virus	no
Brussowvirus Sfi11	no
Mexican papita viroid	no
Japanese yam mosaic virus	no
Grapevine berry inner necrosis virus	no
Omikronpapillomavirus 1	no
Olive leaf yellowing-associated virus	no
Carnation vein mottle virus	no
Skunavirus P008	no
Melanoplus sanguinipes entomopoxvirus	no
Salmon pancreas disease virus	no
Brussowvirus bvO1205	no
Alternanthera mosaic virus	no
Nudaurelia capensis beta virus	no
Yam mild mosaic virus	no
Moineauvirus DT1	no
Lyssavirus australis	no
Colombian datura virus	no
Cucurbit aphid-borne yellows virus	no
Avian endogenous retrovirus EAV-HP	no
TTV-like mini virus	no
Sugarcane yellow leaf virus	no
Sapporo virus	no
Nanovirus-like particle	no
Heterosigma akashiwo virus 01	no
Tanapox virus	no
Bacteroides phage B40-8	no
Murine leukemia-related retroviruses	no
Frangipani mosaic virus	no
Blackcurrant reversion virus satellite RNA	no
Epizootic haematopoietic necrosis virus	no
Tomato chlorotic dwarf viroid	no
Tuberose mild mosaic virus	no
Enterobacteria phage ES18	no
Aconitum latent virus	no
Peduovirus Wphi	no
Grapevine Red Globe virus	no
Enterobacteria phage phiP27	no
Hop latent virus	no
Anatid alphaherpesvirus 1	no
Cypripedium virus Y	no
Pleione virus Y	no
Rhopalanthe virus Y	no
Sarcochilus virus Y	no
Cardamom mosaic virus	no
Indian citrus ringspot virus	no
Phietavirus ETA	no
Enterovirus G	no
Human mastadenovirus B	no
Equine foamy virus	no
Zucchini green mottle mosaic virus	no
Diuris virus Y	no
Diaporthe ambigua RNA virus 1	no
Kyuri green mottle mosaic virus	no
Moineauvirus mv7201	no
Cactus virus X	no
Hydrangea ringspot virus	no
Pepino mosaic virus	no
Celery mosaic virus	no
Oat necrotic mottle virus	no
Poinsettia mosaic virus	no
Lactococcus phage ul36	no
Ovine mastadenovirus A	no
Clitoria virus Y	no
Hibbertia virus Y	no
Beet mosaic virus	no
Carrot thin leaf virus	no
Carrot virus Y	no
Zea mosaic virus	no
Biquartavirus 44RR2	no
Pseudotevenvirus RB43	no
Teschovirus A	no
Ryegrass mottle virus	no
Henipavirus nipahense	no
Kappapapillomavirus 1	no
Groundnut rosette virus satellite RNA	no
Villovirus Vf33	no
Chinese yam necrotic mosaic virus	no
Citrus leaf blotch virus	no
Cherry necrotic rusty mottle virus	no
Botrytis virus F	no
Pseudocowpox virus	no
Bovine papular stomatitis virus	no
Sunflower chlorotic mottle virus	no
Human mastadenovirus A	no
Bovine mastadenovirus B	no
Human mastadenovirus C	no
Bovine mastadenovirus C	no
Bovine mastadenovirus A	no
Equine mastadenovirus A	no
Equine mastadenovirus B	no
Human mastadenovirus E	no
Human mastadenovirus F	no
Human mastadenovirus D	no
Ovine atadenovirus D	no
Duck atadenovirus A	no
Porcine mastadenovirus B	no
Porcine mastadenovirus C	no
Triavirus SLT	no
Bovine atadenovirus D	no
Beet chlorosis virus	no
Turnip yellows virus	no
Cherry mottle leaf virus	no
Kalanchoe latent virus	no
Verbena latent virus	no
Cotton leaf curl betasatellite	no
Trocara virus	no
Siovirus americense	no
Pineapple mealybug wilt-associated virus 2	no
Cucumber vein yellowing virus	no
Cassava brown streak virus	no
Enterovirus A	no
Enterovirus B	no
Enterovirus D	no
Potato latent virus	no
Lactobacillus prophage Lj965	no
Lactobacillus prophage Lj771	no
Lactobacillus prophage Lj928	no
Grapevine fanleaf virus satellite RNA	no
Affertcholeramvirus CTXphi	no
Hop mosaic virus	no
Cucumber fruit mottle mosaic virus	no
Watermelon mosaic virus	no
Rhinovirus A	no
Rhinovirus B	no
Fromanvirus Bxb1	no
Banmivirus BanMMV	no
Rhodothermus phage RM378	no
Garlic virus X	no
Garlic virus E	no
Tiilvirus P60	no
Lactococcus phage bIL311	no
Lactococcus phage bIL285	no
Lactococcus phage bIL286	no
Lactococcus phage bIL309	no
Lactococcus phage bIL310	no
Lactococcus phage bIL312	no
Gremmeniella abietina RNA virus L1	no
Mink calicivirus	no
Little cherry virus 2	no
Eimeria brunetti RNA virus 1	no
Beet mild yellowing virus	no
Scallion mosaic virus	no
Hpunavirus HP2	no
Pea streak virus	no
Streptococcus phage SM1	no
Ascovirus TnAV2a	no
Heterobasidion partitivirus P	no
Lymphocystis disease virus 2	no
Pepper yellow mosaic virus	no
Skunkpox virus	no
Narcissus late season yellows virus	no
Narcissus yellow stripe virus	no
Narcissus common latent virus	no
Tamana bat virus	no
Hollyhock leaf curl virus	no
Moroccan watermelon mosaic virus	no
Tulip virus X	no
Apium virus Y	no
Phikzvirus phiKZ	no
Ageratum yellow leaf curl betasatellite	no
Okra yellow vein disease associated sequence	no
Hollyhock leaf crumple virus satellite DNA	no
Trichomonas vaginalis virus 3	no
Yersinia phage PY54	no
Lederbergvirus ST64T	no
Streptococcus phage phiNIH1.1	no
Methanothermobacter phage psiM100	no
Botrytis virus X	no
Salmonella phage ST64B	no
Sulfolobus islandicus filamentous virus	no
Invertebrate iridescent virus 6	no
Tomato mild mottle virus	no
Sinorhizobium phage PBC5	no
Perhabdovirus trutta	no
Infectious spleen and kidney necrosis virus	no
Stanholtvirus E125	no
Pineapple mealybug wilt-associated virus 1	no
Emiliania huxleyi virus 86	no
Lambdapapillomavirus 1	no
Peach mosaic virus	no
Sunflower mosaic virus	no
African oil palm ringspot virus	no
Ageratum yellow vein betasatellite	no
Hibiscus latent Singapore virus	no
Triavirus tv12	no
Peeveelvirus pv13	no
Euprosterna elaeasa virus	no
Lycoris mild mottle virus	no
Bhendi yellow vein betasatellite	no
Bhendi yellow vein mosaic betasatellite	no
Ornithogalum virus 2	no
Ornithogalum virus 3	no
Saccharomyces 20S RNA narnavirus	no
Goatpox virus	no
Vectrevirus K15	no
Ageratum yellow vein alphasatellite	no
Wild potato mosaic virus	no
Peru tomato mosaic virus	no
Bruynoghevirus PaP3	no
Fowl aviadenovirus A	no
Fowl aviadenovirus B	no
Fowl aviadenovirus C	no
Fowl aviadenovirus D	no
Fowl aviadenovirus E	no
Clostridium phage phi3626	no
Spartina mottle virus	no
Apple fruit crinkle viroid	no
Arabis mosaic virus large satellite RNA	no
Australian grapevine viroid	no
Bamboo mosaic virus satellite RNA	no
Cereal yellow dwarf virus-RPV satellite RNA	no
Chicory yellow mottle virus large satellite RNA	no
Chicory yellow mottle virus satellite RNA	no
Cymbidium ringspot virus satellite RNA	no
Coleus blumei viroid 1	no
Coleus blumei viroid 2	no
Coleus blumei viroid 3	no
Tobacco vein distorting virus	no
Cocksfoot streak virus	no
Lucerne transient streak virus satellite RNA	no
Pea enation mosaic virus satellite RNA	no
Pea enation mosaic virus 1	no
Peanut stunt virus satellite RNA	no
Primate T-lymphotropic virus 1	no
Primate T-lymphotropic virus 2	no
Primate T-lymphotropic virus 3	no
Rauchvirus BPP1	no
Vipivirus canadense	no
Escherichia Stx1 converting phage	no
Aichivirus B	no
Zindervirus SP6	no
Rice yellow mottle virus satellite	no
Solanum nodiflorum mottle virus satellite RNA	no
Strawberry latent ringspot virus satellite RNA	no
Subterranean clover mottle virus satellite RNA	no
Tomato black ring virus satellite RNA	no
Turnip crinkle virus satellite RNA	no
Velvet tobacco mottle virus Satellite RNA	no
Southern cowpea mosaic virus	no
Arabis mosaic virus small satellite RNA	no
Grapevine rupestris stem pitting-associated virus	no
Baboon endogenous virus	no
Etapapillomavirus 1	no
Thetapapillomavirus 1	no
Santee-Cooper ranavirus	no
Beet western yellows ST9 associated virus	no
Saccharomyces 23S RNA narnavirus	no
Satellites of Trichomonas vaginalis T1 virus	no
Bracoviriform kariyai	no
Wisteria vein mosaic virus	no
Grapevine leafroll-associated virus 6	no
Alpinia mosaic virus	no
Rosenblumvirus rv44AHJD	no
Staphylococcus phage P68	no
Xenopus laevis endogenous retrovirus Xen1	no
Grapevine rupestris vein feathering virus	no
Goose paramyxovirus SF02	no
Tobacco leaf curl betasatellite	no
Kostyavirus CJW1	no
Microwolfvirus Bxz2	no
Chenonavirus Che9c	no
Corndogvirus corndog	no
Avanivirus Che9d	no
Omegavirus omega	no
Iris mild mosaic virus	no
Bovine foamy virus	no
Naesvirus bcep781	no
Coniothyrium minitans RNA virus	no
Lyssavirus aravan	no
Sclerotinia sclerotiorum debilitation-associated RNA virus	no
Providence virus	no
Skunavirus sv712	no
Lactococcus virus jj50	no
Hosta virus X	no
Triavirus tv3a	no
Daphne virus S	no
Grapevine leafroll-associated virus 7	no
Little cherry virus 1	no
Chinese artichoke mosaic virus	no
Badnavirus maculakalanchoes	no
Oyster mushroom spherical virus	no
Tobacco leaf curl Yunnan betasatellite	no
Kamiti River virus	no
Turnip rosette virus	no
Eggplant latent viroid	no
Sprivivirus esox	no
Tobacco curly shoot betasatellite	no
Tomato leaf curl betasatellite	no
Cucurbita yellow vein virus-associated DNA beta	no
Enterobacteria phage ST104	no
Malvastrum yellow vein betasatellite	no
Honeysuckle yellow vein betasatellite	no
Eupatorium yellow vein betasatellite	no
Pennisetum mosaic virus	no
Kayvirus kay	no
Haloferacalesvirus HF1	no
Sida golden yellow vein virus	no
Barley yellow dwarf virus GAV	no
Lomovskayavirus BT1	no
Iguanid herpesvirus 2	no
Cinqassovirus aeh1	no
Peduovirus L413C	no
Youcai mosaic virus	no
Cereal yellow dwarf virus RPS	no
Cactus mild mottle virus	no
Haemophilus phage Aaphi23	no
Fischettivirus C1	no
Xipdecavirus Xp10	no
Varroa destructor virus 1	no
Hibiscus latent Fort Pierce virus	no
Tulanevirus bteighttwo	no
Tomato begomovirus satellite DNA beta	no
Coetzeevirus JL1	no
Captovirus AFV1	no
Porcine torovirus	no
Lyssavirus khujand	no
Squirrelpox virus	no
Tomato yellow leaf curl China alphasatellite	no
Cole latent virus	no
Amaranthus leaf mottle virus	no
Lessievirus bcep22	no
Tree shrew mastadenovirus A	no
Calicivirus isolate TCG	no
Tuberose mild mottle virus	no
Naesvirus bcep1	no
Sulfolobus spindle-shaped virus 1	no
Sulfolobus spindle-shaped virus 2	no
Tlsvirus TLS	no
Lyssavirus irkut	no
Lyssavirus caucasicus	no
Tethysvirus hollandense	no
Schlumbergera virus X	no
Zygocactus virus X	no
Opuntia virus X	no
Lactococcus virus P2	no
Pepper veinal mottle virus	no
Stanholtvirus sv1026b	no
Melon yellowing-associated virus	no
Klebsiella phage phiKO2	no
Meadow saffron breaking virus	no
Pfaffia mosaic virus	no
Biseptimavirus bv77	no
Fromanvirus bethlehem	no
Ishigurovirus osborne	no
Naesvirus bcep43	no
Alstroemeria mosaic virus	no
Amazon lily mosaic virus	no
Cotton leaf curl Multan virus satellite U36-1	no
Hapunavirus VP882	no
Yongloolinvirus C2	no
Singapore grouper iridovirus	no
Sweet potato chlorotic fleck virus	no
Bcepmuvirus bcepMu	no
Ambystoma tigrinum virus	no
Mint vein banding-associated virus	no
Chalara elegans RNA Virus 1	no
Tiamatvirus PSSP7	no
Sulfolobus turreted icosahedral virus 1	no
Zantedeschia mild mosaic virus	no
Pseudomonas phage PaP2	no
Magnaporthe oryzae virus 1	no
Adeno-associated virus	no
Eriocheir sinensis reovirus	no
Human coronavirus NL63	no
Tomato leaf curl China betasatellite	no
Acinetobacter virus 133	no
Ryyoungvirus bcepC6B	no
Actinoplanes phage phiAsp2	no
Keylargovirus JL001	no
Burkholderia phage BcepB1A	no
Gremmeniella abietina mitochondrial RNA virus S2	no
Gremmeniella abietina RNA virus L2	no
Hollowayvirus F116	no
Mycoplasma phage phiMFV1	no
Daphne virus Y	no
Penaeid shrimp infectious myonecrosis virus	no
Bombyx mori cypovirus 1 satellite RNA	no
Sulfolobus virus STSV1	no
Skunavirus Sl4	no
Bombyx mori Macula-like virus	no
Human coronavirus HKU1	no
Spiranthes mosaic virus 3	no
Sida yellow mosaic China satellite DNA beta	no
Euphorbia ringspot virus	no
Hepatitis E virus	no
Paslahepevirus balayani	no
Avihepevirus egretti	no
Paslahepevirus alci	no
Equid gammaherpesvirus 7	no
Kayvirus G1	no
Cowpea severe leaf curl-associated DNA beta	no
Flavobacterium phage 11b	no
Cequinquevirus LLKu	no
Frog siadenovirus A	no
Turkey siadenovirus A	no
Simian mastadenovirus A	no
Salchichonvirus LP65	no
Beet black scorch virus satellite RNA	no
Tobacco bushy top virus satellite-like RNA	no
Thunberg fritillary mosaic virus	no
Acidianus filamentous virus 2	no
Mint virus 1	no
Mint virus X	no
Begomovirus-associated DNA-II	no
Begomovirus-associated DNA-III	no
Rabbit vesivirus	no
Cotton leaf curl Gezira betasatellite	no
Mule deerpox virus	no
Poinsettia latent virus	no
Cotton leaf curl Multan betasatellite	no
Brussowvirus bv2972	no
Cotton leaf curl Bangalore betasatellite	no
Apocheima cinerarium nucleopolyhedrovirus	no
Banana virus X	no
Apricot pseudo-chlorotic leaf spot virus	no
Staphylococcus phage 812	no
Tradescantia mild mosaic virus	no
Listonella phage phiHSIC	no
Vicia faba alphaendornavirus	no
Phytophthora alphaendornavirus 1	no
Enterovirus H	no
Erbovirus A	no
Cotton leafroll dwarf virus	no
Mint virus 2	no
Chlamydia phage 4	no
Tomato leaf curl virus-Pune-associated DNA beta	no
Acidianus two-tailed virus	no
Alstroemeria virus X	no
Allium virus X	no
Human T-lymphotropic virus 4	no
Lubbockvirus CD119	no
Staphylococcus phage PT1028	no
Dubowvirus dv69	no
Dubowvirus dv53	no
Triavirus tv42e	no
Triavirus tv47	no
Phietavirus pv37	no
Phietavirus EW	no
Phietavirus pv96	no
Phietavirus pv71	no
Phietavirus pv55	no
Phietavirus pv29	no
Phietavirus pv52a	no
Phietavirus pv88	no
Phietavirus pv92	no
Phietavirus X2	no
Bidens mosaic virus	no
Acanthocystis turfacea chlorella virus 1	no
Konjac mosaic virus	no
Blackberry virus Y	no
Heterosigma akashiwo RNA virus	no
Ludwigia yellow vein virus-associated DNA beta	no
Dubowvirus ETA2	no
Phietavirus ETA3	no
Vanilla distortion mosaic virus	no
Sida yellow vein virus satellite DNA beta	no
Raspberry leaf mottle virus	no
Tropical soda apple mosaic virus	no
Chickpea chlorotic stunt virus	no
Trichoplusia ni ascovirus 2c	no
Twisted-stalk chlorotic streak virus	no
Potato virus P	no
Xipdecavirus OP1	no
Ageratum yellow vein China betasatellite	no
Pseudotevenvirus RB16	no
Emesvirus zinderi	no
Emesvirus japonicum	no
Pecentumvirus P100	no
Listeria phage B054	no
Listeria phage P35	no
Listeria phage A006	no
Yersinia phage phiR1-37	no
Tigrvirus phi52237	no
Rio Negro virus	no
Fritillary virus Y	no
Nerine virus X	no
Alphapapillomavirus 10	no
Alphapapillomavirus 8	no
Alphapapillomavirus 13	no
Alphapapillomavirus 3	no
Zetapapillomavirus 1	no
Betapapillomavirus 2	no
Gammapapillomavirus 1	no
Gammapapillomavirus 2	no
Gammapapillomavirus 3	no
Gammapapillomavirus 4	no
Gammapapillomavirus 5	no
Mupapillomavirus 1	no
Mupapillomavirus 2	no
Nupapillomavirus 1	no
Betapapillomavirus 3	no
Betapapillomavirus 4	no
Betapapillomavirus 5	no
Pipapillomavirus 1	no
Streptocarpus flower break virus	no
Burkholderia phage KS9	no
Hippeastrum latent virus	no
Turkeypox virus	no
Chicken astrovirus	no
Avastrovirus 2	no
Alphapapillomavirus 2	no
Alphapapillomavirus 9	no
Alphapapillomavirus 7	no
Alphapapillomavirus 4	no
Alphapapillomavirus 5	no
Alphapapillomavirus 1	no
Alphapapillomavirus 11	no
Alphapapillomavirus 6	no
Betapapillomavirus 1	no
Deltapapillomavirus 4	no
Sida leaf curl virus-associated DNA beta	no
African green monkey simian foamy virus	no
Grivet simian foamy virus	no
Dybvigvirus Av1	no
Malvastrum leaf curl betasatellite	no
Acyrthosiphon pisum virus	no
Kelp fly virus	no
Ranunculus leaf distortion virus	no
Ranunculus mild mosaic virus	no
Ranunculus mosaic virus	no
East Asian Passiflora virus	no
Betatectivirus Bam35	no
White spot syndrome virus	no
Irtavirus F108	no
Vectrevirus K1E	no
Helicobasidium mompa partitivirus V70	no
Invertebrate iridescent virus 9	no
Invertebrate iridescent virus 22	no
Invertebrate iridescent virus 31	no
Invertebrate iridescent virus 3	no
Bacillus phage Fah	no
Acidianus filamentous virus 3	no
Acidianus filamentous virus 6	no
Acidianus filamentous virus 7	no
Acidianus filamentous virus 8	no
Pseudomonas phage F10	no
Jamesmcgillvirus jv119X	no
Pseudomonas virus M6	no
Bacillus phage Gamma	no
Salmonella phage epsilon34	no
Burkholderia phage Bcep176	no
Atlantic salmon swim bladder sarcoma virus	no
Phlebiopsis gigantea mycovirus dsRNA 1	no
Asian prunus virus 2	no
Asian prunus virus 1	no
Asian prunus virus 3	no
Chrysochromulina brevifilum virus PW1	no
Tequintavirus H8	no
Finkel-Biskis-Jinkins murine sarcoma virus	no
Chick syncytial virus	no
UR2 sarcoma virus	no
Lactococcus phage 4268	no
Bell pepper alphaendornavirus	no
Rtpvirus Rtp	no
Aspergillus ochraceous virus	no
Wbetavirus wbeta	no
Rhizosolenia setigera RNA virus 01	no
Mesta yellow vein mosaic virus-associated DNA beta	no
Oryza rufipogon alphaendornavirus	no
Oryza sativa alphaendornavirus	no
Betabaculovirus arrapae	no
Lactobacillus phage KC5a	no
Langur virus	no
Lolium latent virus	no
TYLCCNV-[Y322] satellite DNA beta	no
Grapevine leafroll-associated virus 10	no
Bell pepper mottle virus	no
Maracuja mosaic virus	no
Catharanthus mosaic virus	no
Henbane mosaic virus	no
Porcine type-C oncovirus	no
Streptomyces phage mu1/6	no
Streptococcus phage M102	no
Tomato bushy stunt virus satellite RNA	no
Sodalis phage phiSG1	no
Basella rugose mosaic virus	no
Kostyavirus kv244	no
Fromanvirus Che12	no
Mycobacterium virus Halo	no
Mycobacterium virus Llij	no
Mycobacterium virus PMC	no
Pineapple mealybug wilt-associated virus 3	no
Micromonas pusilla virus SP1	no
Tigunavirus TG1	no
Hydrangea chlorotic mottle virus	no
Baylorvirus PHL101	no
Malvastrum yellow mosaic alphasatellite	no
Malvastrum yellow mosaic virus satellite DNA beta	no
Malvastrum yellow vein Yunnan virus satellite DNA beta	no
Sowbane mosaic virus	no
Phietavirus MR11	no
Passiflora latent virus	no
Paramecium bursaria Chlorella virus AR158	no
Paramecium bursaria Chlorella virus A1	no
Epichloe festucae virus 1	no
Agave tequilana leaf virus	no
Dubowvirus NM1	no
Dubowvirus NM2	no
Phietavirus NM4	no
Cucumber mottle virus	no
Chopinvirus KSY1	no
Casadabanvirus DMS3	no
Ovine mastadenovirus B	no
Senecavirus A	no
Culex flavivirus	no
Aedes flavivirus	no
Zucchini yellow fleck virus	no
Tomato yellow leaf curl betasatellite	no
Beet curly top Iran virus	no
Sweet potato leaf speckling virus	no
Malva mosaic virus	no
Siegesbeckia yellow vein virus-associated DNA beta	no
Small anellovirus	no
Bielevirus phiO18P	no
Narcissus degeneration virus	no
Koala retrovirus	no
Svunavirus sv1	no
Clostridium phage phiSM101	no
Casadabanvirus MP22	no
Squash vein yellowing virus	no
Rockefellervirus CNPH82	no
Rockefellervirus PH15	no
Strawberry chlorotic fleck-associated virus	no
Telosma mosaic virus	no
Wild tomato mosaic virus	no
Wumpquatrovirus WMP4	no
Quailpox virus	no
Brugmansia mild mottle virus	no
Streptococcus phage P9	no
Coleus vein necrosis virus	no
White bream virus	no
Arracacha mottle virus	no
Phietavirus pv80	no
Aresaunavirus RSA1	no
Thermus phage phiYS40	no
Hardenbergia mosaic virus	no
Potato apical leaf curl disease-associated satellite DNA beta	no
Croton yellow vein mosaic betasatellite	no
Euphorbia leaf curl Guangxi virus	no
Streptococcus phage SMP	no
Chilli ringspot virus	no
Enterobacteria phage cdtI	no
Honeysuckle yellow vein mosaic disease associated satellite DNA beta	no
Bcepfunavirus bcepF1	no
Yambean mosaic virus	no
Hippeastrum mosaic virus	no
Freesia mosaic virus	no
Hyacinth mosaic virus	no
Streptococcus phage phi3396	no
Nerine yellow stripe virus	no
Botryotinia fuckeliana totivirus 1	no
Rehmannia mosaic virus	no
Pyrococcus abyssi virus 1	no
Tomato yellow dwarf disease associated satellite DNA beta-[Kochi]	no
Alternanthera mild mosaic virus	no
Vallota mosaic virus	no
Triticum mosaic virus	no
Stanholtvirus sv6442	no
Tigrvirus E202	no
Bcepmuvirus E255	no
Bidens mottle virus	no
Canna yellow streak virus	no
Honeysuckle yellow vein beta	no
Angelica virus Y	no
Phlox virus S	no
Pepper leaf curl virus satellite DNA beta	no
Tomato leaf curl Joydebpur betasatellite	no
Steller sea lion vesivirus	no
Burkholderia phage BcepGomr	no
Phlox virus M	no
Voetvirus syn5	no
Lactobacillus phage phiPYB5	no
Marine RNA virus SOG	no
Tomato leaf curl Namakely virus	no
Tomato leaf curl Anjouan virus	no
Tobacco leaf curl Comoros virus	no
Tomato leaf curl Moheli virus	no
Tomato leaf curl Diana virus	no
Tomato leaf curl Toliara virus	no
Solenopsis invicta virus 2	no
Wumptrevirus WMP3	no
Magnaporthe oryzae virus 2	no
Asparagus virus 1	no
Asparagus virus 3	no
Staphylococcus phage tp310-3	no
Naesvirus bcepNY3	no
Lettuce virus X	no
Sida yellow vein Vietnam alphasatellite	no
Mimosa yellow leaf curl virus-associated DNA 1	no
Papaya leaf curl China betasatellite	no
Mimosa yellow leaf curl virus satellite DNA beta	no
Sida yellow vein Vietnam virus satellite DNA beta	no
Sida yellow vein Vietnam betasatellite 1	no
Erectites yellow mosaic betasatellite	no
Tomato yellow leaf curl Vietnam betasatellite	no
Lindernia anagallis yellow vein betasatellite	no
Alternanthera yellow vein betasatellite	no
Mythimna unipuncta nucleopolyhedrovirus	no
Geobacillus virus E2	no
Sweet potato virus 2	no
Okra leaf curl Mali virus satellite DNA beta	no
Araujia mosaic virus	no
Tethysvirus raunefjordenense	no
Vespertiliovirus SkV1CR23x	no
Butterfly flower mosaic virus	no
Phaius virus X	no
Bacillus phage 0305phi8-36	no
Sulfolobus spindle-shaped virus 4	no
Sulfolobus spindle-shaped virus 5	no
Diplodia scrobiculata RNA virus 1	no
Brussowvirus bv858	no
Citrus viroid V	no
Wheat eqlid mosaic virus	no
Pseudomonas virus Yua	no
Chickpea chlorotic dwarf virus	no
Black raspberry virus F	no
Rhinovirus C	no
Oshimavirus P2345	no
Oshimavirus P7426	no
Azospirillum phage Cd	no
Thalassomonas phage BA3	no
Xipdecavirus Xop411	no
Peach chlorotic mottle virus	no
Melon aphid-borne yellows virus	no
Phlox virus B	no
Ligustrum necrotic ringspot virus	no
Tomato leaf curl New Delhi betasatellite	no
Bandicoot papillomatosis carcinomatosis virus type 1	no
Haemophilus phage SuMu	no
Bruynoghevirus LUZ24	no
Nounane virus	no
Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta	no
Phlomis mottle virus	no
Dubowvirus MR25	no
Brugmansia suaveolens mottle virus	no
Malachra yellow vein mosaic virus-associated satellite DNA beta	no
Enterobacteria phage WA13	no
Kuravirus phiEco32	no
Epseptimavirus EPS7	no
Abalone shriveling syndrome-associated virus	no
Skunavirus bibb29	no
Eragrostis streak virus	no
Chaetoceros tenuissimus RNA virus 01	no
Oat dwarf virus	no
Cardiospermum yellow leaf curl betasatellite	no
Hapunavirus HAP1	no
Bandicoot papillomatosis carcinomatosis virus type 2	no
Lactococcus phage asccphi28	no
Pseudomonas phage PAJU2	no
Casadabanvirus MP29	no
Casadabanvirus MP38	no
Cequinquevirus c5	no
Acidianus filamentous virus 9	no
Betatectivirus AP50	no
Eupatorium vein clearing virus	no
Verbena virus Y	no
Algerian watermelon mosaic virus	no
Grapevine virus E	no
Okra leaf curl alphasatellite	no
Cotton leaf curl Gezira alphasatellite	no
Pepper leaf curl Yunnan virus satellite DNA beta	no
Urochloa streak virus	no
Imperata yellow mottle virus	no
Mulberry small circular viroid-like RNA 1	no
Tobacco mottle leaf curl virus	no
Human mastadenovirus G	no
Streptococcus phage PH15	no
Tomato leaf curl Pakistan alphasatellite	no
Squirrel fibroma virus	no
Fromanvirus jasper	no
Fromanvirus KBG	no
Fromanvirus lockley	no
Pukovnikvirus pukovnik	no
Common midwife toad virus	no
Clostridium phage phiCP39-O	no
Adoxophyes orana nucleopolyhedrovirus	no
Mycobacterium virus Boomer	no
Kostyavirus kostya	no
Mycobacterium phage Phaedrus	no
Kostyavirus porky	no
Diascia yellow mottle virus	no
Fig fleck-associated virus	no
Elephant endotheliotropic herpesvirus 4	no
Passiflora chlorosis virus	no
Carnation necrotic fleck virus	no
Citrus dwarfing viroid	no
Leptopilina boulardi filamentous virus	no
Cecivirus IEBH	no
Armigeres subalbatus virus SaX06-AK20	no
Burkholderia phage KS10	no
Colneyvirus CD27	no
Listeria phage P40	no
Brujitavirus brujita	no
Ludwigia leaf distortion betasatellite	no
Mycobacterium virus Fruitloop	no
Mycobacterium virus Pacc40	no
Mycobacterium virus Ramsey	no
Malva vein clearing virus	no
Spodoptera litura nucleopolyhedrovirus II	no
Astrovirus MLB1	no
Carrot mottle mimic virus satellite RNA	no
Carrot mottle virus satellite RNA	no
Wheat yellow dwarf virus-GPV	no
Thrush coronavirus HKU12-600	no
Vibrio phage douglas 12A4	no
Vibrio phage eugene 12A10	no
Vibrio phage helene 12B3	no
Vibrio phage henriette 12B8	no
Vibrio phage martha 12B12	no
Stenotrophomonas phage S1	no
Lupinus mosaic virus	no
Pepper chat fruit viroid	no
Bulbul coronavirus HKU11	no
Dubowvirus IPLA88	no
Triavirus IPLA35	no
Sea turtle tornovirus 1	no
Tomato leaf curl Patna betasatellite	no
Rabbit calicivirus Australia 1 MIC-07	no
T'Ho virus	no
Chilli leaf curl India virus	no
Daphne mosaic virus	no
Lactobacillus phage Lv-1	no
Begonia flower breaking virus	no
Red clover vein mosaic virus	no
Salmonella phage g341c	no
Mus musculus mobilized endogenous polytropic provirus	no
Mycobacterium phage Phlyer	no
Helleborus net necrosis virus	no
Helleborus mosaic virus	no
Drosophila A virus	no
Sweet potato symptomless virus 1	no
Dhillonvirus SSL2009a	no
Enterococcus phage EFAP-1	no
Chaoyang virus	no
Solenopsis invicta virus 3	no
Mooreparkvirus Lb3381	no
Moineauvirus Abc2	no
Ageratum leaf curl Cameroon betasatellite	no
Eragrostis curvula streak virus	no
Emilia yellow vein virus-associated DNA beta	no
Lyssavirus Ozernoe	no
Circovirus-like genome RW-A	no
Circovirus-like genome RW-B	no
Circovirus-like genome RW-C	no
Circovirus-like genome RW-D	no
Circovirus-like genome RW-E	no
Circovirus-like genome CB-A	no
Circovirus-like genome CB-B	no
Circovirus-like genome SAR-A	no
Circovirus-like genome SAR-B	no
Circovirus-like genome BBC-A	no
Ostreococcus tauri virus 1	no
Quang Binh virus	no
Streptococcus phage PH10	no
