genus	segmented
Enhodamvirus	no
Pestivirus	no
Litunavirus	no
Timquatrovirus	no
Ravavirus	no
Gemycircularvirus	no
Huchismacovirus	no
Phifelvirus	no
Pahexavirus	no
Sakobuvirus	no
Pagevirus	no
Rocahepevirus	no
Chirohepevirus	no
Piscihepevirus	no
Parahepadnavirus	no
Lumosvirus	no
Pakpunavirus	no
Seuratvirus	no
Saphexavirus	no
Vaccinivirus	no
Kunsagivirus	no
Woodruffvirus	no
Percavirus	no
Paundecimvirus	no
Parechovirus	no
Wphvirus	no
Bequatrovirus	no
Betaarterivirus	no
Nebovirus	no
Fipvunavirus	no
Orthobunyavirus	no
Jujuvirus	no
Leonardvirus	no
Cardiovirus	no
Soupsvirus	no
Soymovirus	no
Jilinvirus	no
Uetakevirus	no
Stupnyavirus	no
Chosvirus	no
Nyfulvavirus	no
Pteropopoxvirus	no
Machinavirus	no
Husavirus	no
Sunshinevirus	no
Anphevirus	no
Arlivirus	no
Smoothievirus	no
Gammapolyomavirus	no
Epsilonpolyomavirus	no
Zetapolyomavirus	no
Icerudivirus	no
Maldovirus	no
Amdoparvovirus	no
Agatevirus	no
Gequatrovirus	no
Cornellvirus	no
Kagunavirus	no
Pregotovirus	no
Karamvirus	no
Gelderlandvirus	no
Gaprivervirus	no
Schizotequatrovirus	no
Mylasvirus	no
Mosigvirus	no
Dhakavirus	no
Potamipivirus	no
Limnipivirus	no
Vequintavirus	no
Seunavirus	no
Certrevirus	no
Obolenskvirus	no
Pacinivirus	no
Aumaivirus	no
Bastillevirus	no
Helsingorvirus	no
Lightbulbvirus	no
Cbastvirus	no
Siminovitchvirus	no
Dyochipapillomavirus	no
Dyoomegapapillomavirus	no
Cytomegalovirus	no
Dyophipapillomavirus	no
Dyopsipapillomavirus	no
Mapvirus	no
Gamaleyavirus	no
Drulisvirus	no
Rogunavirus	no
Nitunavirus	no
Nonagvirus	no
Nonanavirus	no
Homburgvirus	no
Papanivirus	no
Psavirus	no
Kleczkowskavirus	no
Kilunavirus	no
Fernvirus	no
Mardecavirus	no
Tegunavirus	no
Slashvirus	no
Treisdeltapapillomavirus	no
Treisepsilonpapillomavirus	no
Treisetapapillomavirus	no
Treiszetapapillomavirus	no
Vhmlvirus	no
Macronovirus	no
Sextaecvirus	no
Nankokuvirus	no
Livupivirus	no
Panicovirus	no
Dyotaupapillomavirus	no
Dyoupsilonpapillomavirus	no
Mavirus	no
Sputnikvirus	no
Phlebovirus	no
Roseolovirus	no
Guelphvirus	no
Salisharnavirus	no
Picobirnavirus	no
Felixounavirus	no
Kolesnikvirus	no
Tsukubavirus	no
Albetovirus	no
Vesiculovirus	no
Tupavirus	no
Tibrovirus	no
Hapavirus	no
Cytorhabdovirus	no
Almendravirus	no
Crustavirus	no
Habenivirus	no
Saetivirus	no
Inovirus	no
Infulavirus	no
Bifilivirus	no
Wamavirus	no
Ledantevirus	no
Orthohantavirus	no
Novirhabdovirus	no
Mieseafarmvirus	no
Chiangmaivirus	no
Sepunavirus	no
Yokohamavirus	no
Myohalovirus	no
Emdodecavirus	no
Marthavirus	no
Krischvirus	no
Diegovirus	no
Oslovirus	no
Ghunavirus	no
Korravirus	no
Laroyevirus	no
Mudcatvirus	no
Marvinvirus	no
Abidjanvirus	no
Amigovirus	no
Bernalvirus	no
Decurrovirus	no
Demosthenesvirus	no
Eiauvirus	no
Gaiavirus	no
Gilesvirus	no
Gordonvirus	no
Gordtnkvirus	no
Harrisonvirus	no
Jenstvirus	no
Steinhofvirus	no
Kelleziovirus	no
Nipunavirus	no
Incheonvirus	no
Inhavirus	no
Pamexvirus	no
Patiencevirus	no
Barnyardvirus	no
Predatorvirus	no
Pepyhexavirus	no
Roufvirus	no
Xiamenvirus	no
Papyrusvirus	no
Oneupvirus	no
Tankvirus	no
Tinduovirus	no
Titanvirus	no
Johnsonvirus	no
Cepunavirus	no
Kafunavirus	no
Kochitakasuvirus	no
Luzseptimavirus	no
Bevemovirus	no
Montyvirus	no
Woesvirus	no
Camvirus	no
Likavirus	no
Arequatrovirus	no
Hautrevirus	no
Acadianvirus	no
Rosebushvirus	no
Coopervirus	no
Usarudivirus	no
Bignuzvirus	no
Fishburnevirus	no
Phayoncevirus	no
Bongovirus	no
Reyvirus	no
Abouovirus	no
Agricanvirus	no
Klausavirus	no
Elvirus	no
Jimmervirus	no
Seoulvirus	no
Perisivirus	no
Caeruleovirus	no
Tsarbombavirus	no
Suspvirus	no
Mooglevirus	no
Jiaodavirus	no
Slopekvirus	no
Moonvirus	no
Curiovirus	no
Sunrhavirus	no
Sripuvirus	no
Peropuvirus	no
Friunavirus	no
Przondovirus	no
Limelightvirus	no
Waewaevirus	no
Stubburvirus	no
Phikmvvirus	no
Pradovirus	no
Eracentumvirus	no
Teseptimavirus	no
Berlinvirus	no
Bdellomicrovirus	no
Bostovirus	no
Oncotshavirus	no
Rabovirus	no
Ampivirus	no
Kuttervirus	no
Agtrevirus	no
Deltasatellite	no
Wildcatvirus	no
Timshelvirus	no
Mischivirus	no
Charlievirus	no
Cronusvirus	no
Bixzunavirus	no
Pbunavirus	no
Vicialiavirus	no
Suturavirus	no
Restivirus	no
Versovirus	no
Capistrivirus	no
Scuticavirus	no
Subteminivirus	no
Staminivirus	no
Primolicivirus	no
Tertilicivirus	no
Parhipatevirus	no
Psecadovirus	no
Torchivirus	no
Espurtavirus	no
Hohglivirus	no
Dinornavirus	no
Vegasvirus	no
Holosalinivirus	no
Kairosalinivirus	no
Vendettavirus	no
Alphasphaerolipovirus	no
Metavirus	no
Alphaovalivirus	no
Cetovirus	no
Thalassavirus	no
Topilevirus	no
Errantivirus	no
Bracchivirus	no
Lyctovirus	no
Carbovirus	no
Cocosatellite	no
Kobbarisatellite	no
Coprasatellite	no
Alphaportoglobovirus	no
Aalivirus	no
Nezavisimistyvirus	no
Taipeivirus	no
Miltonvirus	no
Alefpapillomavirus	no
Alphatectivirus	no
Anatolevirus	no
Attisvirus	no
Babusatellite	no
Muscarsatellite	no
Baxterfoxvirus	no
Bopivirus	no
Chipolycivirus	no
Clostunsatellite	no
Crohivirus	no
Cystovirus	no
Deltaflexivirus	no
Baltimorevirus	no
Doucettevirus	no
Drosmacovirus	no
Erskinevirus	no
Fabenesatellite	no
Draflysatellite	no
Hawkeyevirus	no
Metahepadnavirus	no
Herpetohepadnavirus	no
Wanchaivirus	no
Kwaitsingvirus	no
Wongtaivirus	no
Saikungvirus	no
Cuauhtlivirus	no
Hupolycivirus	no
Jwalphavirus	no
Limdunavirus	no
Milvetsatellite	no
Nymphadoravirus	no
Ophiovirus	no
Orivirus	no
Pulverervirus	no
Plectrovirus	no
Plotvirus	no
Thetapolyomavirus	no
Prosimiispumavirus	no
Protobacilladnavirus	no
Shanbavirus	no
Pollockvirus	no
Ithacavirus	no
Saundersvirus	no
Treisiotapapillomavirus	no
Treiskappapapillomavirus	no
Trigintaduovirus	no
Wizardvirus	no
Carpasinavirus	no
Quhwahvirus	no
Whopevirus	no
Wotdevirus	no
Kayfunavirus	no
Batrachovirus	no
Veravirus	no
Arepavirus	no
Dalvirus	no
Celavirus	no
Dianlovirus	no
Chaovirus	no
Muarterivirus	no
Alphaarterivirus	no
Lambdaarterivirus	no
Deltaarterivirus	no
Kappaarterivirus	no
Gammaarterivirus	no
Zetaarterivirus	no
Gambievirus	no
Alasvirus	no
Drunivirus	no
Draselvirus	no
Hoptevirus	no
Sanstrivirus	no
Leocovirus	no
Damravirus	no
Ganiavirus	no
Nematovirus	no
Iotaarterivirus	no
Epsilonarterivirus	no
Etaarterivirus	no
Thetaarterivirus	no
Turrinivirus	no
Mivirus	no
Alphamononivirus	no
Charybnivirus	no
Paguronivirus	no
Infratovirus	no
Sectovirus	no
Wumivirus	no
Berhavirus	no
Orinovirus	no
Bolenivirus	no
Pararubulavirus	no
Busanvirus	no
Vieuvirus	no
Lokivirus	no
Metrivirus	no
Popoffvirus	no
Polybotosvirus	no
Ailurivirus	no
Anativirus	no
Alphachrysovirus	no
Aqualcavirus	no
Galaxyvirus	no
Jasminevirus	no
Kusarnavirus	no
Metaavulavirus	no
Paraavulavirus	no
Matervirus	no
Magadivirus	no
Moonbeamvirus	no
Siophivirus	no
Thornevirus	no
Shalavirus	no
Orthorubulavirus	no
Bavovirus	no
Botoulivirus	no
Sogarnavirus	no
Klumppvirus	no
Ahduovirus	no
Nazgulvirus	no
Caligrhavirus	no
Cimpunavirus	no
Cinunavirus	no
Sasvirus	no
Ceetrepovirus	no
Chunghsingvirus	no
Poushouvirus	no
Ikedavirus	no
Mimasvirus	no
Decapodiridovirus	no
Ionavirus	no
Nanhaivirus	no
Gofduovirus	no
Eclunavirus	no
Efquatrovirus	no
Kochikohdavirus	no
Schiekvirus	no
Iapetusvirus	no
Risingsunvirus	no
Asteriusvirus	no
Avunavirus	no
Sertoctavirus	no
Unahavirus	no
Ficleduovirus	no
Betachrysovirus	no
Gammatectivirus	no
Bantamvirus	no
Betterkatzvirus	no
Wilnyevirus	no
Bowservirus	no
Vividuovirus	no
Britbratvirus	no
Emalynvirus	no
Eyrevirus	no
Galunavirus	no
Gamtrevirus	no
Bendigovirus	no
Getseptimavirus	no
Ghobesvirus	no
Gesputvirus	no
Gustavvirus	no
Hedwigvirus	no
Gorjumvirus	no
Nyceiraevirus	no
Orchidvirus	no
Sourvirus	no
Yvonnevirus	no
Iodovirus	no
Locarnavirus	no
Sugarlandvirus	no
Jedunavirus	no
Alcyoneusvirus	no
Negarvirus	no
Magoulivirus	no
Malagasivirus	no
Dismasvirus	no
Elerivirus	no
Kojivirus	no
Ilzatvirus	no
Farahnazvirus	no
Minunavirus	no
Pikminvirus	no
Minovirus	no
Tortellinivirus	no
Myxoctovirus	no
Nacovirus	no
Salovirus	no
Lilyvirus	no
Halcyonevirus	no
Vidquintavirus	no
Vhulanivirus	no
Peatvirus	no
Phimunavirus	no
Myunavirus	no
Novosibvirus	no
Priunavirus	no
Bifseptvirus	no
Beetrevirus	no
Bjornvirus	no
Flaumdravirus	no
Vicosavirus	no
Noxifervirus	no
Plaisancevirus	no
Pollyceevirus	no
Otagovirus	no
Samunavirus	no
Napahaivirus	no
Nickievirus	no
Chakrabartyvirus	no
Tabernariusvirus	no
Krylovvirus	no
Ripduovirus	no
Recovirus	no
Rigallicvirus	no
Trinavirus	no
Weaselvirus	no
Kryptosalinivirus	no
Stockinghallvirus	no
Brunovirus	no
Scleroulivirus	no
Eneladusvirus	no
Winklervirus	no
Cultervirus	no
Hanrivervirus	no
Lacusarxvirus	no
Delepquintavirus	no
Rimavirus	no
Bingvirus	no
Samistivirus	no
Scapunavirus	no
Tijeunavirus	no
Thomixvirus	no
Nutorquevirus	no
Tottorivirus	no
Aphroditevirus	no
Jesfedecavirus	no
Tidunavirus	no
Vipunavirus	no
Whiflysatellite	no
Eisenstarkvirus	no
Xylivirus	no
Alphanemrhavirus	no
Salvovirus	no
Sanovirus	no
Loughboroughvirus	no
Hicfunavirus	no
Newforgelanevirus	no
Arawnvirus	no
Opunvirus	no
Mydovirus	no
Fairfaxidumvirus	no
Andhravirus	no
Torbevirus	no
Teetrevirus	no
Aarhusvirus	no
Apdecimavirus	no
Daemvirus	no
Pettyvirus	no
Kaohsiungvirus	no
Murciavirus	no
Trungvirus	no
Uliginvirus	no
Kantovirus	no
Kotilavirus	no
Stompvirus	no
Kirikabuvirus	no
Tunggulvirus	no
Aerosvirus	no
Aghbyvirus	no
Ahphunavirus	no
Cronosvirus	no
Panjvirus	no
Pienvirus	no
Pokrovskaiavirus	no
Wanjuvirus	no
Acadevirus	no
Axomammavirus	no
Tuodvirus	no
Ampunavirus	no
Higashivirus	no
Mguuvirus	no
Risjevirus	no
Sukuvirus	no
Bucovirus	no
Koutsourovirus	no
Novosibovirus	no
Caroctavirus	no
Chatterjeevirus	no
Eapunavirus	no
Elunavirus	no
Foetvirus	no
Helsettvirus	no
Jarilovirus	no
Minipunavirus	no
Ningirsuvirus	no
Pektosvirus	no
Phutvirus	no
Pifdecavirus	no
Pijolavirus	no
Troedvirus	no
Unyawovirus	no
Aegirvirus	no
Ashivirus	no
Atuphduovirus	no
Ayakvirus	no
Ayaqvirus	no
Banchanvirus	no
Bonnellvirus	no
Cheungvirus	no
Cuernavacavirus	no
Cyclitvirus	no
Ermolevavirus	no
Foturvirus	no
Foussvirus	no
Fussvirus	no
Gajwadongvirus	no
Gyeongsanvirus	no
Igirivirus	no
Jalkavirus	no
Jiaoyazivirus	no
Kafavirus	no
Kajamvirus	no
Kalppathivirus	no
Kelmasvirus	no
Kembevirus	no
Krakvirus	no
Lingvirus	no
Lirvirus	no
Lullwatervirus	no
Maculvirus	no
Nohivirus	no
Oinezvirus	no
Paadamvirus	no
Pagavirus	no
Pairvirus	no
Pedosvirus	no
Pekhitvirus	no
Pelagivirus	no
Percyvirus	no
Piedvirus	no
Podivirus	no
Poseidonvirus	no
Powvirus	no
Qadamvirus	no
Scottvirus	no
Sednavirus	no
Serkorvirus	no
Sieqvirus	no
Stompelvirus	no
Stopalavirus	no
Stopavirus	no
Tangaroavirus	no
Tawavirus	no
Tritonvirus	no
Votkovvirus	no
Wuhanvirus	no
Carltongylesvirus	no
Faunusvirus	no
Loessnervirus	no
Pahsextavirus	no
Suwonvirus	no
Yushanvirus	no
Hongcheonvirus	no
Pogseptimavirus	no
Shenzhenvirus	no
Christensenvirus	no
Loudonvirus	no
Eastlansingvirus	no
Lindendrivevirus	no
Wilsonroadvirus	no
Warwickvirus	no
Badaguanvirus	no
Nouzillyvirus	no
Sauletekiovirus	no
Vilniusvirus	no
Baoshanvirus	no
Harbinvirus	no
Sciuriunavirus	no
Canoevirus	no
Catalunyavirus	no
Entnonagintavirus	no
Elveevirus	no
Felsduovirus	no
Kisquattuordecimvirus	no
Kisquinquevirus	no
Nampongvirus	no
Phitrevirus	no
Playavirus	no
Reginaelenavirus	no
Senquatrovirus	no
Seongnamvirus	no
Simpcentumvirus	no
Vulnificusvirus	no
Xuanwuvirus	no
Acionnavirus	no
Ahtivirus	no
Alexandravirus	no
Anamdongvirus	no
Anaposvirus	no
Aokuangvirus	no
Atlauavirus	no
Baikalvirus	no
Barbavirus	no
Bellamyvirus	no
Brigitvirus	no
Brizovirus	no
Charybdisvirus	no
Cymopoleiavirus	no
Eponavirus	no
Eurybiavirus	no
Goslarvirus	no
Heilongjiangvirus	no
Kanaloavirus	no
Lagaffevirus	no
Leucotheavirus	no
Libanvirus	no
Llyrvirus	no
Mazuvirus	no
Mushuvirus	no
Neptunevirus	no
Nereusvirus	no
Nerrivikvirus	no
Nodensvirus	no
Palaemonvirus	no
Phabquatrovirus	no
Phapecoctavirus	no
Pontusvirus	no
Qingdaovirus	no
Rosemountvirus	no
Salacisavirus	no
Salmondvirus	no
Sasquatchvirus	no
Schmittlotzvirus	no
Tamkungvirus	no
Taranisvirus	no
Tefnutvirus	no
Thaumasvirus	no
Thetisvirus	no
Toutatisvirus	no
Vellamovirus	no
Wellingtonvirus	no
Wifcevirus	no
Yoloswagvirus	no
Hungariovirus	no
Kelquatrovirus	no
Mukerjeevirus	no
Shizishanvirus	no
